region1,region2,strength
L_bankssts,L_inferiorparietal,9.2670
L_bankssts,L_inferiortemporal,5.6033
L_bankssts,L_lateralorbitofrontal,1.5898
L_bankssts,L_middletemporal,10.0900
L_bankssts,L_precentral,4.4449
L_bankssts,L_superiortemporal,9.6444
L_bankssts,L_supramarginal,8.5565
L_caudalanteriorcingulate,L_caudalmiddlefrontal,2.7537
L_caudalanteriorcingulate,L_entorhinal,3.5169
L_caudalanteriorcingulate,L_isthmuscingulate,7.2434
L_caudalanteriorcingulate,L_lateralorbitofrontal,6.6957
L_caudalanteriorcingulate,L_medialorbitofrontal,7.7805
L_caudalanteriorcingulate,L_parahippocampal,4.8882
L_caudalanteriorcingulate,L_paracentral,5.3497
L_caudalanteriorcingulate,L_posteriorcingulate,8.9264
L_caudalanteriorcingulate,L_precuneus,8.6953
L_caudalanteriorcingulate,L_rostralanteriorcingulate,8.8435
L_caudalanteriorcingulate,L_rostralmiddlefrontal,5.2346
L_caudalanteriorcingulate,L_superiorfrontal,10.2721
L_caudalanteriorcingulate,L_insula,5.5846
L_caudalanteriorcingulate,R_caudalanteriorcingulate,8.4377
L_caudalanteriorcingulate,R_lateralorbitofrontal,1.8248
L_caudalanteriorcingulate,R_posteriorcingulate,5.1578
L_caudalanteriorcingulate,R_rostralanteriorcingulate,3.9101
L_caudalanteriorcingulate,R_rostralmiddlefrontal,2.9058
L_caudalanteriorcingulate,R_superiorfrontal,8.4640
L_caudalmiddlefrontal,L_inferiorparietal,9.3537
L_caudalmiddlefrontal,L_inferiortemporal,8.9820
L_caudalmiddlefrontal,L_middletemporal,8.4538
L_caudalmiddlefrontal,L_parsopercularis,10.3835
L_caudalmiddlefrontal,L_postcentral,8.0590
L_caudalmiddlefrontal,L_posteriorcingulate,1.9924
L_caudalmiddlefrontal,L_precentral,11.0904
L_caudalmiddlefrontal,L_rostralmiddlefrontal,10.4478
L_caudalmiddlefrontal,L_superiorfrontal,11.1187
L_caudalmiddlefrontal,L_superiorparietal,7.9417
L_caudalmiddlefrontal,L_supramarginal,7.2214
L_caudalmiddlefrontal,L_temporalpole,3.7144
L_caudalmiddlefrontal,R_caudalmiddlefrontal,9.6436
L_caudalmiddlefrontal,R_parsopercularis,6.3852
L_caudalmiddlefrontal,R_precentral,7.5530
L_caudalmiddlefrontal,R_rostralmiddlefrontal,7.7916
L_caudalmiddlefrontal,R_superiorfrontal,9.5218
L_caudalmiddlefrontal,R_insula,2.6145
L_cuneus,L_fusiform,6.1808
L_cuneus,L_isthmuscingulate,8.2013
L_cuneus,L_lateraloccipital,9.6017
L_cuneus,L_lateralorbitofrontal,4.0025
L_cuneus,L_lingual,9.6463
L_cuneus,L_parahippocampal,6.6586
L_cuneus,L_pericalcarine,11.1931
L_cuneus,L_precuneus,9.6091
L_cuneus,L_rostralmiddlefrontal,3.3375
L_cuneus,L_superiorparietal,10.1390
L_cuneus,L_insula,6.2556
L_cuneus,R_cuneus,7.8779
L_cuneus,R_isthmuscingulate,6.1538
L_cuneus,R_lateraloccipital,7.2436
L_cuneus,R_lingual,6.2850
L_cuneus,R_pericalcarine,6.7107
L_cuneus,R_superiorparietal,8.3795
L_entorhinal,L_fusiform,8.7237
L_entorhinal,L_inferiortemporal,5.1005
L_entorhinal,L_isthmuscingulate,6.3410
L_entorhinal,L_lateraloccipital,4.0546
L_entorhinal,L_lingual,5.8493
L_entorhinal,L_parahippocampal,8.7476
L_entorhinal,L_pericalcarine,3.7744
L_entorhinal,L_precuneus,6.1349
L_entorhinal,L_superiortemporal,5.6020
