region1,region2,strength
L_superiorfrontal,R_superiorfrontal,12.6150
L_inferiorparietal,L_superiorparietal,11.8404
R_inferiorparietal,R_superiorparietal,11.7067
L_postcentral,L_precentral,11.6221
R_postcentral,R_precentral,11.5428
R_cuneus,R_pericalcarine,11.3411
L_cuneus,L_pericalcarine,11.1931
R_caudalmiddlefrontal,R_superiorfrontal,11.1570
L_caudalmiddlefrontal,L_superiorfrontal,11.1187
L_caudalmiddlefrontal,L_precentral,11.0904
L_postcentral,L_supramarginal,10.9873
R_inferiorparietal,R_middletemporal,10.9807
L_superiorparietal,L_supramarginal,10.9052
R_caudalmiddlefrontal,R_precentral,10.8817
L_inferiorparietal,L_middletemporal,10.8404
R_fusiform,R_lateraloccipital,10.8359
L_fusiform,L_lateraloccipital,10.8233
R_inferiortemporal,R_middletemporal,10.8019
R_lingual,R_pericalcarine,10.8015
R_isthmuscingulate,R_precuneus,10.7707
R_precentral,R_superiorfrontal,10.7518
L_precentral,L_superiorfrontal,10.7503
R_postcentral,R_supramarginal,10.7416
L_inferiortemporal,L_middletemporal,10.7409
L_rostralmiddlefrontal,L_superiorfrontal,10.7399
L_isthmuscingulate,L_precuneus,10.7381
L_paracentral,R_paracentral,10.7310
R_rostralmiddlefrontal,R_superiorfrontal,10.7129
R_inferiorparietal,R_supramarginal,10.6848
L_inferiorparietal,L_lateraloccipital,10.6648
R_caudalanteriorcingulate,R_superiorfrontal,10.6477
R_fusiform,R_inferiortemporal,10.6097
L_fusiform,L_inferiortemporal,10.6094
R_lateralorbitofrontal,R_insula,10.5637
R_lateraloccipital,R_superiorparietal,10.5058
R_postcentral,R_superiorparietal,10.4655
L_caudalmiddlefrontal,L_rostralmiddlefrontal,10.4478
L_lingual,L_pericalcarine,10.4441
R_inferiorparietal,R_lateraloccipital,10.4373
R_superiorparietal,R_supramarginal,10.4266
R_postcentral,R_insula,10.4195
R_caudalmiddlefrontal,R_rostralmiddlefrontal,10.4161
L_caudalmiddlefrontal,L_parsopercularis,10.3835
L_superiortemporal,L_supramarginal,10.3805
L_middletemporal,L_superiortemporal,10.3754
L_fusiform,L_lingual,10.3749
L_superiorparietal,R_superiorparietal,10.3643
L_postcentral,L_insula,10.3544
L_rostralmiddlefrontal,R_superiorfrontal,10.3444
R_precuneus,R_superiorparietal,10.3428
L_inferiorparietal,L_supramarginal,10.3351
L_lateralorbitofrontal,L_insula,10.3289
L_lateraloccipital,L_superiorparietal,10.3150
R_superiortemporal,R_insula,10.3045
R_paracentral,R_posteriorcingulate,10.3039
L_rostralmiddlefrontal,R_rostralmiddlefrontal,10.2918
L_precentral,R_precentral,10.2772
L_caudalanteriorcingulate,L_superiorfrontal,10.2721
L_superiortemporal,L_insula,10.2611
R_temporalpole,R_insula,10.2542
R_caudalmiddlefrontal,R_parsopercularis,10.2438
L_lateralorbitofrontal,L_medialorbitofrontal,10.2342
L_medialorbitofrontal,L_rostralanteriorcingulate,10.2336
R_parstriangularis,R_rostralmiddlefrontal,10.2322
R_middletemporal,R_superiortemporal,10.2074
L_postcentral,L_superiorparietal,10.2066
R_lateraloccipital,R_lingual,10.2057
R_cuneus,R_superiorparietal,10.2032
R_lateralorbitofrontal,R_medialorbitofrontal,10.1550
L_cuneus,L_superiorparietal,10.1390
L_precentral,L_insula,10.1373
L_parsopercularis,L_superiorfrontal,10.1265
R_fusiform,R_lingual,10.1237
R_medialorbitofrontal,R_rostralanteriorcingulate,10.1232
R_inferiorparietal,R_inferiortemporal,10.1069
R_lateralorbitofrontal,R_parsorbitalis,10.1037
L_bankssts,L_middletemporal,10.0900
R_parsopercularis,R_superiorfrontal,10.0733
L_lateraloccipital,L_lingual,10.0674
L_parsopercularis,L_insula,10.0278
L_parstriangularis,L_rostralmiddlefrontal,10.0258
L_parsopercularis,L_precentral,10.0253
L_superiorfrontal,R_rostralmiddlefrontal,10.0187
L_middletemporal,L_supramarginal,10.0059
R_supramarginal,R_insula,10.0021
R_precentral,R_insula,9.9950
L_temporalpole,L_insula,9.9882
R_parsopercularis,R_insula,9.9781
R_rostralanteriorcingulate,R_superiorfrontal,9.9686
L_precuneus,L_superiorfrontal,9.9686
L_precuneus,R_precuneus,9.9507
R_parsopercularis,R_precentral,9.9423
L_medialorbitofrontal,R_medialorbitofrontal,9.9334
R_posteriorcingulate,R_precuneus,9.9260
L_paracentral,L_precentral,9.9107
L_superiortemporal,L_transversetemporal,9.9102
L_lateralorbitofrontal,L_parsorbitalis,9.9100
L_precuneus,L_superiorparietal,9.8840
R_paracentral,R_precentral,9.8734
L_rostralanteriorcingulate,L_superiorfrontal,9.8715
R_superiortemporal,R_transversetemporal,9.8606
R_cuneus,R_lingual,9.8529
L_paracentral,L_posteriorcingulate,9.8484
L_posteriorcingulate,L_precuneus,9.8477
L_parsopercularis,L_rostralmiddlefrontal,9.8447
L_parsopercularis,L_parstriangularis,9.8423
R_bankssts,R_middletemporal,9.8214
R_precuneus,R_superiorfrontal,9.8171
L_paracentral,L_superiorfrontal,9.8111
R_paracentral,R_superiorfrontal,9.8087
L_parstriangularis,L_insula,9.8042
R_posteriorcingulate,R_superiorfrontal,9.7958
L_superiorfrontal,R_caudalmiddlefrontal,9.7775
R_parstriangularis,R_insula,9.7749
L_posteriorcingulate,L_superiorfrontal,9.7558
R_cuneus,R_lateraloccipital,9.7471
L_inferiorparietal,L_inferiortemporal,9.7420
L_paracentral,R_precentral,9.7396
L_supramarginal,L_insula,9.7232
R_lateraloccipital,R_pericalcarine,9.7025
R_superiortemporal,R_supramarginal,9.6999
L_lateraloccipital,L_pericalcarine,9.6830
L_cuneus,L_lingual,9.6463
L_bankssts,L_superiortemporal,9.6444
L_caudalmiddlefrontal,R_caudalmiddlefrontal,9.6436
R_paracentral,R_postcentral,9.6327
R_inferiorparietal,R_rostralmiddlefrontal,9.6323
L_paracentral,L_postcentral,9.6205
L_cuneus,L_precuneus,9.6091
L_cuneus,L_lateraloccipital,9.6017
R_parsopercularis,R_parstriangularis,9.5900
R_caudalmiddlefrontal,R_inferiorparietal,9.5887
R_parsopercularis,R_rostralmiddlefrontal,9.5802
R_medialorbitofrontal,R_superiorfrontal,9.5761
L_postcentral,R_postcentral,9.5681
L_precuneus,R_superiorparietal,9.5581
R_middletemporal,R_supramarginal,9.5471
R_inferiorparietal,R_superiortemporal,9.5240
L_caudalmiddlefrontal,R_superiorfrontal,9.5218
L_precentral,R_paracentral,9.5178
L_fusiform,L_parahippocampal,9.4942
R_bankssts,R_superiortemporal,9.4747
R_cuneus,R_precuneus,9.4697
L_inferiortemporal,L_lateraloccipital,9.4671
R_inferiortemporal,R_lateraloccipital,9.4633
L_medialorbitofrontal,L_superiorfrontal,9.4577
R_fusiform,R_parahippocampal,9.4521
R_bankssts,R_inferiorparietal,9.4448
L_parsorbitalis,L_parstriangularis,9.4403
R_superiorparietal,R_insula,9.4398
L_superiorparietal,L_superiortemporal,9.4398
R_paracentral,R_precuneus,9.4017
R_middletemporal,R_rostralmiddlefrontal,9.3809
L_lateraloccipital,L_middletemporal,9.3682
L_inferiortemporal,L_rostralmiddlefrontal,9.3594
L_caudalmiddlefrontal,L_inferiorparietal,9.3537
L_fusiform,L_inferiorparietal,9.3508
R_lateralorbitofrontal,R_rostralmiddlefrontal,9.3475
R_parsorbitalis,R_parstriangularis,9.3327
L_isthmuscingulate,L_posteriorcingulate,9.3325
R_fusiform,R_superiorparietal,9.2984
R_superiorparietal,R_superiortemporal,9.2936
R_parsorbitalis,R_rostralmiddlefrontal,9.2862
R_fusiform,R_inferiorparietal,9.2855
R_precentral,R_rostralmiddlefrontal,9.2752
L_bankssts,L_inferiorparietal,9.2670
L_superiorfrontal,R_precentral,9.2441
L_superiorparietal,R_precuneus,9.2228
L_inferiorparietal,L_superiortemporal,9.2025
R_lingual,R_precuneus,9.1944
L_lingual,L_parahippocampal,9.1807
L_parsorbitalis,L_rostralmiddlefrontal,9.1804
L_superiorfrontal,L_insula,9.1687
R_lateraloccipital,R_insula,9.1606
R_isthmuscingulate,R_posteriorcingulate,9.1522
L_superiorparietal,L_insula,9.1492
L_lateralorbitofrontal,L_rostralmiddlefrontal,9.1450
L_precentral,R_superiorfrontal,9.0978
L_precentral,L_rostralmiddlefrontal,9.0925
R_pericalcarine,R_superiorparietal,9.0851
L_transversetemporal,L_insula,9.0751
R_lateraloccipital,R_middletemporal,9.0750
L_precentral,L_supramarginal,9.0557
R_lingual,R_superiorparietal,9.0479
R_lateraloccipital,R_superiortemporal,9.0228
L_medialorbitofrontal,L_frontalpole,9.0180
R_precentral,R_superiorparietal,9.0086
R_caudalanteriorcingulate,R_precuneus,8.9934
L_middletemporal,L_parsopercularis,8.9845
L_caudalmiddlefrontal,L_inferiortemporal,8.9820
L_pericalcarine,L_superiorparietal,8.9716
R_lingual,R_parahippocampal,8.9675
R_superiorfrontal,R_insula,8.9671
L_lateralorbitofrontal,L_parstriangularis,8.9659
L_superiorfrontal,R_paracentral,8.9633
R_transversetemporal,R_insula,8.9629
L_lingual,L_precuneus,8.9417
L_lateraloccipital,L_superiortemporal,8.9342
L_caudalanteriorcingulate,L_posteriorcingulate,8.9264
L_middletemporal,L_rostralmiddlefrontal,8.9253
