ID,Title,Published,DiagStatus,DepStatus,nDep,nCon,ageDep,ageCon,sex,edu,matchAge,matchEdu,IQDep,episode,med,Recruitment,MADRS,HDRS,BDI,BDICalc,HADS,CESD,GDS.30,SDS,DID,MASQ,d,cp,g,Va,sda,vi,sdi,Stat.used,AMT,Positive,Neutral,Negative,Specific,Categoric
7,Warren 2007,1,1,1,12,12,43.75,37.75,0.583,NA,1,0,NA,NA,0.75,1,NA,NA,NA,NA,8.83,NA,NA,NA,NA,NA,1.065922406,0.965517241,-1.029166461,0.166666667,0.40824829,0.188732992,0.434434105,p-value,1,NA,NA,NA,0,1
11,Young 2012,1,1,1,12,14,34,29,0.33,NA,NA,NA,120,NA,0,NA,NA,21,NA,30.37313433,NA,NA,NA,NA,NA,NA,2.129119901,0.968421053,2.061884535,0.153846154,0.39223227,0.236518979,0.486332169,Mean,1,NA,NA,NA,0,1
13,Dristchel 2011: UK,1,1,1,15,15,43.13,44.4,0.667,8,1,1,NA,NA,NA,1,NA,NA,31.07,31.07,NA,NA,NA,NA,NA,NA,-2.141761768,0.972972973,1.761119551,0.133333333,0.365148372,0.187306313,0.432788993,Mean,1,1,0,0,0,1
17,Dritschel 2011: Taiwan,1,1,1,15,15,37.6,36.6,0.667,7.8,1,0,NA,NA,NA,1,NA,NA,27.4,27.4,NA,NA,NA,NA,NA,NA,1.564314234,0.972972973,1.156128573,0.133333333,0.365148372,0.157842019,0.397293366,Mean,1,1,0,0,0,1
22,Goddard 1996,1,1,1,16,16,46.6,41.9,0.75,NA,NA,NA,NA,NA,NA,1,NA,NA,31,31,NA,NA,NA,NA,NA,NA,1.204846371,0.974789916,1.174472093,0.125,0.353553391,0.146552886,0.382822264,Mean,1,NA,NA,NA,0,1
24,Mackinger 2000,1,1,0,21,20,47.9,46,1,NA,1,NA,99.2,NA,0.381,1,NA,4.8,6.3,6.3,NA,NA,NA,NA,NA,NA,0.531248753,0.980645161,0.824569223,0.097560976,0.312347524,0.107034767,0.327161683,Mean,1,1,0,0,0,1
28,Barnhofer 2002,1,1,1,15,15,33.3,36.6,0.8,NA,1,NA,NA,NA,NA,1,NA,NA,25.6,25.6,NA,NA,NA,NA,NA,NA,1.297260213,0.972972973,1.262199126,0.133333333,0.365148372,0.159885777,0.399857196,Mean,1,NA,NA,NA,0,1
30,Ricarte 2011,1,1,1,34,34,74.59,75.09,0.852,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.075042084,0.988593156,0.167687385,0.058823529,0.242535625,0.095237834,0.308606276,Mean,1,1,0,0,0,1
43,Young 2016a: Current MDD,1,1,1,45,60,33.5,30.3,0.444,NA,1,NA,109,NA,0,0,NA,18.9,NA,27.23880597,NA,NA,NA,NA,NA,NA,1.854285453,0.99270073,1.840750523,0.038095238,0.195180015,0.055023948,0.23457184,Mean,1,NA,NA,NA,0,1
45,Young 2016a: Remitted MDD,1,1,0,25,60,30.9,30.3,0.64,NA,1,NA,108,NA,0,0,NA,3.88,NA,4.820895522,NA,NA,NA,NA,NA,NA,2.102400353,0.990936556,2.083345365,0.047058824,0.216930458,0.082198007,0.286701948,Mean,1,NA,NA,NA,0,1
48,Kaney 1999,1,1,1,20,20,34.9,36.65,0.25,NA,1,NA,105.2,NA,0.5,1,NA,NA,27.55,27.55,NA,NA,NA,NA,NA,NA,0.374552195,0.98013245,0.002949938,0.1,0.316227766,0.101657773,0.31883816,Mean,1,1,0,0,0,1
53,Heidenreich 2007,1,1,1,18,18,39.9,32.3,0.556,NA,0,1,NA,NA,NA,1,NA,NA,24.94,24.94,NA,NA,NA,NA,NA,NA,-0.153795605,0.977777778,-0.150377925,0.111111111,0.333333333,0.111425188,0.333804116,Mean,1,NA,NA,NA,0,1
59,Romero 2014,1,NA,1,65,74,21.58,21.65,0.862,NA,1,1,NA,NA,NA,0,NA,NA,17.08,17.08,NA,NA,NA,NA,NA,NA,0.474514861,0.994515539,0.250805808,0.028776978,0.169637786,0.029699213,0.172334596,Mean,0,1,0,0,0,1
75,Ridout 2016,1,1,1,25,25,42.7,41,0.6,12.6,1,1,106,NA,0.84,1,NA,NA,28.9,28.9,12.6,NA,NA,NA,NA,NA,0.676660649,0.984293194,1.128810526,0.08,0.282842712,0.094477893,0.307372564,Mean,1,1,0,0,0,1
83,Young 2016c,1,1,1,16,16,37.1,37.8,0.875,NA,1,NA,114,NA,0,0,NA,19.8,NA,28.58208955,NA,NA,NA,NA,NA,NA,1.820777202,0.974789916,1.774875256,0.125,0.353553391,0.174221596,0.417398606,Mean,1,NA,NA,NA,0,1
93,Birch 2007,1,1,1,17,17,71.5,73.9,0.765,10.4,1,1,96.3,NA,0.88,1,NA,NA,NA,NA,NA,NA,22.1,NA,NA,NA,0.493196962,0.976377953,0.48154664,0.117647059,0.34299717,0.121057164,0.3479327,Mean,1,NA,NA,NA,0,1
101,Ramponi 2004,1,0,1,16,16,34.63,29.38,0.625,NA,1,NA,113.42,NA,NA,0,NA,NA,14.63,14.63,NA,NA,NA,NA,NA,NA,0.419207288,0.974789916,0.408639037,0.125,0.353553391,0.127609154,0.357224235,Mean,1,0,0,0,0,1
105,Anderson 2016: Experiment 1,1,0,1,30,31,20.87,20.29,0.867,NA,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA,25.2,NA,NA,NA,NA,0.526822788,0.987234043,0.520097391,0.06557377,0.25607376,0.067808622,0.260400887,Mean,0,0,1,0,0,1
107,Anderson 2016: Experiment 2,1,0,1,27,26,20.7,20.12,0.704,NA,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA,26.56,NA,NA,NA,NA,0.311635755,0.985221675,0.051060389,0.075471698,0.274721128,0.076141291,0.275937113,Mean,0,1,0,0,0,1
119,Rekart 2006,0,0,1,67,56,NA,NA,0.627,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,-0.119736868,0.99378882,0.322287201,0.032520325,0.180333927,0.033996327,0.184380928,Mean,1,1,0,0,0,1
130,Mitchell 2015,1,NA,0,10,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.357370845,0.976377953,-0.348929014,0.117647059,0.34299717,0.143457129,0.378757348,Mean,0,NA,NA,NA,0,1
131,Jermann 2013: Current MDD,1,1,1,20,20,46.1,45.9,0.75,12.6,1,1,NA,NA,0.95,1,25.8,NA,34.7,34.7,NA,NA,NA,NA,NA,NA,0.805877287,0.98013245,0.78986648,0.1,0.316227766,0.107798613,0.328326991,Mean,1,NA,NA,NA,0,1
133,Jermann 2013: Remitted MDD,1,1,0,36,20,46.8,45.9,0.694,15.4,1,1,NA,NA,NA,1,4.6,NA,8.4,8.4,NA,NA,NA,NA,NA,NA,0.112806669,0.986046512,0.111232623,0.071428571,0.267261242,0.077888248,0.279084661,Mean,1,NA,NA,NA,0,1
136,Matsumoto 2020: Study 1,1,NA,1,25,25,20.96,21.4,0.4,NA,1,NA,NA,NA,NA,0,NA,NA,19.06,19.06,NA,NA,NA,NA,NA,NA,0.375013591,0.984293194,0.750099077,0.08,0.282842712,0.087077912,0.295089667,Mean,1,1,0,0,0,1
140,Matsumoto 2020: Study 2 Remitted vs. HC,1,1,0,20,36,20.1,19.83,0.65,NA,1,NA,NA,0.5,NA,0,NA,NA,14.35,14.35,NA,NA,NA,NA,NA,NA,0.260577104,0.986046512,0.467055656,0.071428571,0.267261242,0.080119645,0.283054137,Mean,1,1,0,0,0,1
149,Latorre 2013,1,NA,1,33,33,72.09,72.52,0.576,NA,1,1,NA,NA,0,0,NA,NA,NA,NA,NA,21.97,NA,NA,NA,NA,0.347570668,0.988235294,0.343481601,0.060606061,0.246182982,0.061499846,0.247991625,Mean,1,NA,NA,NA,0,1
172,Kao 2007: Study 1,0,NA,1,30,30,NA,NA,0.8,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.966782589,0.987012987,0.954226971,0.066666667,0.25819889,0.074254576,0.272496928,Mean,1,NA,NA,NA,0,1
174,Kao 2007: Study 2,0,1,1,30,30,39.47,39.33,NA,10.97,1,1,NA,NA,NA,1,NA,NA,30.57,30.57,NA,NA,NA,NA,NA,NA,3.958706398,0.987012987,3.907294626,0.066666667,0.25819889,0.193891261,0.440330854,Mean,1,NA,NA,NA,0,1
