Title,ID,Meas,Published,DiagStatus,DepStatus,nDep,nCon,ageDep,ageCon,sex,edu,matchAge,matchEdu,IQDep,episode,onsetAge,onsetAgeCalc,onset,duration,durationCalc,med,Recruitment,MADRS,HDRS,BDI,BDICalc,HADS,CESD,GDS-30,SDS,DID,MASQ,d,cp,g,varg,Stat used,AMT,Positive,Neutral,Negative,Specific,Categoric
Goddard 1997,1,1,1,,1,16,16,23.6,24.9,0.3125,,1,1,,,,,,,,,0,,,22.9,22.9,,,,,,,-1.089151046,0.974789916,-1.061693456,0.142612391,F ,1,,,,1,0
Lemogne 2006,2,1,1,1,1,21,21,38.14,38.48,0.619,12.76,1,1,102.61,,26.43,26.43,,137.8,137.8,0.8571,1,29.43,,21,21,,,,,,,-1.74455367,0.981132075,-1.711637563,0.130115514,t,0,1,0,0,1,0
Lemogne 2006,2,2,1,1,1,21,21,38.14,38.48,0.619,12.76,1,1,102.61,,26.43,26.43,,137.8,137.8,0.8571,1,29.43,,21,21,,,,,,,-0.569379361,0.981132075,-0.558636355,0.098953269,t,0,0,0,1,1,0
Barnhofer 2007,3,1,1,1,0,16,19,34.44,29.74,0.625,,1,,,,20.75,20.75,,,164.28,,0,,,2.63,2.63,,,,,,,0.186215351,0.977099237,0.181950877,0.115604524,Mean,1,,,,1,0
Barnhofer 2007,3,2,1,1,0,16,19,34.44,29.74,0.625,,1,,,,20.75,20.75,,,164.28,,0,,,2.63,2.63,,,,,,,-0.139837216,0.977099237,-0.136634837,0.11539828,Mean,1,,,,1,0
Warren 2007,4,1,1,1,1,12,12,43.75,37.75,0.583,,1,0,,,,,,,,0.75,1,,,,,8.83,,,,,,-1.158106503,0.965517241,-1.118171796,0.192714753,p-value,1,,,,1,0
Warren 2007,4,2,1,1,1,12,12,43.75,37.75,0.583,,1,0,,,,,,,,0.75,1,,,,,8.83,,,,,,1.065922406,0.965517241,-1.029166461,0.188732992,p-value,1,,,,0,1
Warren 2007,4,3,1,1,1,12,12,43.75,37.75,0.583,,1,0,,,,,,,,0.75,1,,,,,8.83,,,,,,-1.524509565,0.965517241,-1.47194027,0.211804337,Mean,0,0,1,0,1,0
Bergouignan 2008,5,1,1,1,0,20,20,40.8,40.5,0.85,,1,,107.8,,27.45,27.45,,165.6,165.6,0.65,1,3.28,,2.47,2.47,,,,,,,-0.005186452,0.98013245,-0.00508341,0.100000323,p-value,0,,,,1,0
Young 2012,6,1,1,1,1,12,14,34,29,0.33,,,,120,,,,,,,0,,,21,,30.37313433,,,,,,,-1.318540776,0.968421053,-1.276902646,0.186117296,Mean,1,,,,1,0
Young 2012,6,2,1,1,1,12,14,34,29,0.33,,,,120,,,,,,,0,,,21,,30.37313433,,,,,,,2.129119901,0.968421053,2.061884535,0.236518979,Mean,1,,,,0,1
Dristchel 2011: UK,7,1,1,1,1,15,15,43.13,44.4,0.667,8,1,1,,,,,,,,,1,,,31.07,31.07,,,,,,,-2.141761768,0.972972973,-2.083876315,0.205709008,Mean,1,1,0,0,1,0
Dristchel 2011: UK,7,2,1,1,1,15,15,43.13,44.4,0.667,8,1,1,,,,,,,,,1,,,31.07,31.07,,,,,,,-2.141761768,0.972972973,2.131033957,0.209021762,Mean,1,1,0,0,0,1
Dristchel 2011: UK,7,3,1,1,1,15,15,43.13,44.4,0.667,8,1,1,,,,,,,,,1,,,31.07,31.07,,,,,,,-2.141761768,0.972972973,-1.816805152,0.188346349,Mean,1,0,0,1,1,0
Dristchel 2011: UK,7,4,1,1,1,15,15,43.13,44.4,0.667,8,1,1,,,,,,,,,1,,,31.07,31.07,,,,,,,-2.141761768,0.972972973,1.391205145,0.165590863,Mean,1,0,0,1,0,1
Dritschel 2011: Taiwan,8,1,1,1,1,15,15,37.6,36.6,0.667,7.8,1,0,,,,,,,,,1,,,27.4,27.4,,,,,,,-1.026626401,0.972972973,-0.998879741,0.149962679,Mean,1,1,0,0,1,0
Dritschel 2011: Taiwan,8,2,1,1,1,15,15,37.6,36.6,0.667,7.8,1,0,,,,,,,,,1,,,27.4,27.4,,,,,,,1.564314234,0.972972973,1.522035471,0.1719432,Mean,1,1,0,0,0,1
Dritschel 2011: Taiwan,8,3,1,1,1,15,15,37.6,36.6,0.667,7.8,1,0,,,,,,,,,1,,,27.4,27.4,,,,,,,-0.446364262,0.972972973,-0.434300363,0.13962056,Mean,1,0,0,1,1,0
Dritschel 2011: Taiwan,8,4,1,1,1,15,15,37.6,36.6,0.667,7.8,1,0,,,,,,,,,1,,,27.4,27.4,,,,,,,0.812172277,0.972972973,0.790221675,0.143740838,Mean,1,0,0,1,0,1
Goddard 1996,9,1,1,1,1,16,16,46.6,41.9,0.75,,,,,,,,,,,,1,,,31,31,,,,,,,-1.34218873,0.974789916,-1.30835204,0.151746642,Mean,1,1,0,0,1,0
Goddard 1996,9,2,1,1,1,16,16,46.6,41.9,0.75,,,,,,,,,,,,1,,,31,31,,,,,,,-0.657295775,0.974789916,-0.640725293,0.131414514,Mean,1,0,0,1,1,0
Goddard 1996,9,3,1,1,1,16,16,46.6,41.9,0.75,,,,,,,,,,,,1,,,31,31,,,,,,,1.204846371,0.974789916,1.174472093,0.146552886,Mean,1,,,,0,1
Mackinger 2000,10,1,1,1,0,21,20,47.9,46,1,,1,,99.2,,,,,,,0.381,1,,4.8,6.3,6.3,,,,,,,-0.720162517,0.980645161,-0.706223887,0.103701391,Mean,1,1,0,0,1,0
Mackinger 2000,10,2,1,1,0,21,20,47.9,46,1,,1,,99.2,,,,,,,0.381,1,,4.8,6.3,6.3,,,,,,,0.531248753,0.980645161,0.520966519,0.100928878,Mean,1,1,0,0,0,1
Mackinger 2000,10,3,1,1,0,21,20,47.9,46,1,,1,,99.2,,,,,,,0.381,1,,4.8,6.3,6.3,,,,,,,-1.384615385,0.980645161,-1.357816377,0.120102771,Mean,1,0,0,1,1,0
Mackinger 2000,10,4,1,1,0,21,20,47.9,46,1,,1,,99.2,,,,,,,0.381,1,,4.8,6.3,6.3,,,,,,,1.150438477,0.980645161,1.128171926,0.113140656,Mean,1,0,0,1,0,1
Barnhofer 2002,11,1,1,1,1,15,15,33.3,36.6,0.8,,1,,,,,,,,,,1,,,25.6,25.6,,,,,,,-0.719393627,0.972972973,-0.699950556,0.141498846,Mean,1,,,,1,0
Barnhofer 2002,11,2,1,1,1,15,15,33.3,36.6,0.8,,1,,,,,,,,,,1,,,25.6,25.6,,,,,,,1.297260213,0.972972973,1.262199126,0.159885777,Mean,1,,,,0,1
Ricarte 2011,14,1,1,1,1,34,34,74.59,75.09,0.852,,1,,,,,,,,,1,1,,,,,,,,,,,-3.379710629,0.988593156,-3.341158797,0.140906927,Mean,1,1,0,0,1,0
Ricarte 2011,14,2,1,1,1,34,34,74.59,75.09,0.852,,1,,,,,,,,,1,1,,,,,,,,,,,-2.075042084,0.988593156,-2.051372402,0.089765652,Mean,1,1,0,0,0,1
Ricarte 2011,14,3,1,1,1,34,34,74.59,75.09,0.852,,1,,,,,,,,,1,1,,,,,,,,,,,-4.301562681,0.988593156,-4.252495426,0.191792039,Mean,1,0,0,1,1,0
Ricarte 2011,14,4,1,1,1,34,34,74.59,75.09,0.852,,1,,,,,,,,,1,1,,,,,,,,,,,2.414286561,0.988593156,2.386747171,0.100710015,Mean,1,0,0,1,0,1
Andersson 2013,15,1,1,1,1,20,20,39.7,38.85,0.75,14.7,1,1,,,,,,,,,1,22.7,,,25.80895522,,,,,,,-0.789396812,0.98013245,-0.773713432,0.107482906,Mean,1,1,0,0,1,0
Andersson 2013,15,2,1,1,1,20,20,39.7,38.85,0.75,14.7,1,1,,,,,,,,,1,22.7,,,25.80895522,,,,,,,-0.780334054,0.98013245,-0.764830729,0.107312076,Mean,1,0,0,1,1,0
Belcher 2014,16,1,1,1,1,30,30,38,31,0.7,,0,1,,,,,,,,,0,,,29.43,29.43,,,,,,,-0.977431277,0.987012987,-0.964737364,0.074422652,Mean,1,,,,1,0
Haddad 2014,17,1,1,1,0,24,24,26.46,24.58,1,,1,,,0.5,,,,,,0,0,,,4.38,4.38,,,,,,,0,0.983606557,0,0.083333333,Mean,1,1,0,0,1,0
Haddad 2014,17,2,1,1,0,24,24,26.46,24.58,1,,1,,,0.5,,,,,,0,0,,,4.38,4.38,,,,,,,0,0.983606557,0,0.083333333,Mean,1,0,0,1,1,0
Soderlund 2014,18,1,1,1,1,21,18,48.5,43.3,0.667,15.5,1,1,,,,38.5,,120,120,,1,,,33.8,33.8,,,,,,,-1.144690989,0.979591837,1.121329948,0.096431051,F ,0,,,,1,0
