ID,Title,Published,DiagStatus,DepStatus,nDep,nCon,ageDep,ageCon,sex,edu,matchAge,matchEdu,IQDep,episode,onsetAge,onsetAgeCalc,onset,duration,durationCalc,med,Recruitment,MADRS,HDRS,BDI,BDICalc,HADS,CESD,GDS.30,SDS,DID,MASQ,d,cp,g,vi,sdi,Va,sda,Stat.used,AMT,Positive,Neutral,Negative,Specific,Categoric
1,Goddard 1997,1,NA,1,16,16,23.6,24.9,0.3125,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,22.9,22.9,NA,NA,NA,NA,NA,NA,-1.089151046,0.974789916,-1.061693456,0.142612391,0.377640558,0.125,0.353553391,F ,1,NA,NA,NA,1,0
2,Lemogne 2006,1,1,1,21,21,38.14,38.48,0.619,12.76,1,1,102.61,NA,26.43,26.43,NA,137.8,137.8,0.8571,1,29.43,NA,21,21,NA,NA,NA,NA,NA,NA,-1.74455367,0.981132075,-1.135136959,0.114534392,0.338429301,0.095238095,0.3086067,t,0,1,0,0,1,0
4,Barnhofer 2007,1,1,0,16,19,34.44,29.74,0.625,NA,1,NA,NA,NA,20.75,20.75,NA,NA,164.28,NA,0,NA,NA,2.63,2.63,NA,NA,NA,NA,NA,NA,0.186215351,0.977099237,0.02265802,0.115501402,0.339854972,0.114285714,0.338061702,Mean,1,NA,NA,NA,1,0
6,Warren 2007,1,1,1,12,12,43.75,37.75,0.583,NA,1,0,NA,NA,NA,NA,NA,NA,NA,0.75,1,NA,NA,NA,NA,8.83,NA,NA,NA,NA,NA,-1.158106503,0.965517241,-1.295056033,0.202259545,0.449732748,0.166666667,0.40824829,p-value,1,NA,NA,NA,1,0
9,Bergouignan 2008,1,1,0,20,20,40.8,40.5,0.85,NA,1,NA,107.8,NA,27.45,27.45,NA,165.6,165.6,0.65,1,3.28,NA,2.47,2.47,NA,NA,NA,NA,NA,NA,-0.005186452,0.98013245,-0.00508341,0.100000323,0.316228277,0.1,0.316227766,p-value,0,NA,NA,NA,1,0
10,Young 2012,1,1,1,12,14,34,29,0.33,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,0,NA,NA,21,NA,30.37313433,NA,NA,NA,NA,NA,NA,-1.318540776,0.968421053,-1.276902646,0.186117296,0.431413138,0.153846154,0.39223227,Mean,1,NA,NA,NA,1,0
12,Dristchel 2011: UK,1,1,1,15,15,43.13,44.4,0.667,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,31.07,31.07,NA,NA,NA,NA,NA,NA,-2.141761768,0.972972973,-1.950340734,0.197027679,0.443878,0.133333333,0.365148372,Mean,1,1,0,0,1,0
16,Dritschel 2011: Taiwan,1,1,1,15,15,37.6,36.6,0.667,7.8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,27.4,27.4,NA,NA,NA,NA,NA,NA,-1.026626401,0.972972973,-0.716590052,0.14479162,0.38051494,0.133333333,0.365148372,Mean,1,1,0,0,1,0
20,Goddard 1996,1,1,1,16,16,46.6,41.9,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,31,31,NA,NA,NA,NA,NA,NA,-1.34218873,0.974789916,-0.974538667,0.141580578,0.376271947,0.125,0.353553391,Mean,1,1,0,0,1,0
23,Mackinger 2000,1,1,0,21,20,47.9,46,1,NA,1,NA,99.2,NA,NA,NA,NA,NA,NA,0.381,1,NA,4.8,6.3,6.3,NA,NA,NA,NA,NA,NA,-0.720162517,0.980645161,-1.032020132,0.111902081,0.334517684,0.097560976,0.312347524,Mean,1,1,0,0,1,0
27,Barnhofer 2002,1,1,1,15,15,33.3,36.6,0.8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,25.6,25.6,NA,NA,NA,NA,NA,NA,-0.719393627,0.972972973,-0.699950556,0.141498846,0.376163324,0.133333333,0.365148372,Mean,1,NA,NA,NA,1,0
29,Ricarte 2011,1,1,1,34,34,74.59,75.09,0.852,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.379710629,0.988593156,-3.796827112,0.166349483,0.407859636,0.058823529,0.242535625,Mean,1,1,0,0,1,0
33,Andersson 2013,1,1,1,20,20,39.7,38.85,0.75,14.7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,22.7,NA,NA,25.80895522,NA,NA,NA,NA,NA,NA,-0.789396812,0.98013245,-0.769272081,0.107397491,0.327715564,0.1,0.316227766,Mean,1,1,0,0,1,0
35,Belcher 2014,1,1,1,30,30,38,31,0.7,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,29.43,29.43,NA,NA,NA,NA,NA,NA,-0.977431277,0.987012987,-0.964737364,0.074422652,0.272805154,0.066666667,0.25819889,Mean,1,NA,NA,NA,1,0
36,Haddad 2014,1,1,0,24,24,26.46,24.58,1,NA,1,NA,NA,0.5,NA,NA,NA,NA,NA,0,0,NA,NA,4.38,4.38,NA,NA,NA,NA,NA,NA,0,0.983606557,0,0.083333333,0.288675134,0.083333333,0.288675135,Mean,1,1,0,0,1,0
38,Soderlund 2014,1,1,1,21,18,48.5,43.3,0.667,15.5,1,1,NA,NA,NA,38.5,NA,120,120,NA,1,NA,NA,33.8,33.8,NA,NA,NA,NA,NA,NA,-1.144690989,0.979591837,1.121329948,0.096431051,0.310533494,0.102564103,0.320256308,F ,0,NA,NA,NA,1,0
39,Haque 2014,1,1,1,13,13,36,36.53,0.538,13.46,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.527800696,0.968421053,-2.447975411,0.269088146,0.518737068,0.153846154,0.39223227,Mean,1,NA,NA,NA,1,0
40,Hach 2014,1,0.882352941,0.529411765,17,16,23.53,20.63,0.882,14.76,1,1,105,NA,NA,NA,NA,NA,NA,0.471,NA,NA,NA,18.18,18.18,NA,NA,NA,NA,NA,NA,-1.22156506,0.975609756,-1.19177079,0.142843493,0.377946416,0.121212121,0.348155312,Mean,0,NA,NA,NA,1,0
41,Biedermann 2017,1,1,1,27,31,45.7,46.4,0.704,14.22,1,1,NA,NA,NA,NA,NA,NA,NA,0.407,1,NA,26.3,36.4,36.4,NA,NA,NA,NA,NA,NA,-0.859468314,0.986547085,-0.84790596,0.075492899,0.274759711,0.068965517,0.262612866,F ,0,NA,NA,NA,1,0
42,Young 2016a: Current MDD,1,1,1,45,60,33.5,30.3,0.444,NA,1,NA,109,NA,NA,NA,NA,NA,NA,0,0,NA,18.9,NA,27.23880597,NA,NA,NA,NA,NA,NA,-1.494313493,0.99270073,-1.483406095,0.04936743,0.222187826,0.038095238,0.195180015,Mean,1,NA,NA,NA,1,0
44,Young 2016a: Remitted MDD,1,1,0,25,60,30.9,30.3,0.64,NA,1,NA,108,NA,NA,NA,NA,NA,NA,0,0,NA,3.88,NA,4.820895522,NA,NA,NA,NA,NA,NA,-1.639927694,0.990936556,-1.625064301,0.072200984,0.268702408,0.047058824,0.216930458,Mean,1,NA,NA,NA,1,0
